cid,data_time,value
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-29,63245.47372666668
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-30,87189.3006466667
91E0C8BAA163259EE0530BC8100AFFB2,2019-10-31,72825.04445999998
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-01,66074.24106
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-02,64418.91714666667
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-03,62255.43976666669
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-04,54747.60357476189
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-05,60047.265044285705
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-06,63689.859719642875
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-07,67066.16669999997
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-08,61624.189599047626
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-09,67921.59059047619
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-10,68587.89323190473
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-11,41076.34886666665
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-12,58462.369959999996
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-13,64017.97044666667
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-14,68666.8260894048
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-15,78556.48638000002
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-16,72757.79603142853
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-17,74342.4880690476
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-18,78154.36860333334
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-19,87586.16414952377
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-20,85866.32580523808
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-21,86543.41304838096
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-22,70413.67984666668
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-23,59200.193173333275
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-24,83954.14923999996
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-25,87196.25354380957
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-26,79501.83895571427
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-27,63714.190345238094
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-28,67573.3754733333
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-29,84743.63201333336
91E0C8BAA163259EE0530BC8100AFFB2,2019-11-30,89156.12417333327
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-01,87647.48739999995
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-02,78555.90354523808
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-03,80510.61643619047
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-04,87577.68002857138
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-05,90059.61423714284
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-06,78359.92239333333
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-07,76846.14917333332
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-08,79964.34495333333
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-09,81548.6615
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-10,81606.78972
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-11,85587.13786904757
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-12,88117.39951333332
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-13,83504.91156095239
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-14,85246.48309999998
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-15,85509.40672571433
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-16,90605.62941999998
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-17,80672.69331333332
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-18,82658.59219333334
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-19,75293.96609619052
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-20,66808.97599333336
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-21,73084.95194142862
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-22,59288.65638428571
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-23,46378.64130666667
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-24,48259.98668
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-25,29629.53988523811
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-26,38369.40778619046
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-27,65003.00685619046
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-28,47848.33096571428
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-29,55779.04590857144
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-30,60007.13599999997
91E0C8BAA163259EE0530BC8100AFFB2,2019-12-31,59838.30636000002
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-01,65375.55743904765
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-02,61150.88904904761
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-03,55849.59500296704
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-04,57892.81825794868
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-05,56188.37122857143
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-06,60393.37874666667
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-07,71131.86638952378
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-08,67821.90721999996
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-09,54747.7201257143
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-10,59494.18701333334
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-11,53995.90179692312
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-12,58880.046180000005
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-13,64668.94488714287
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-14,66848.88290523806
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-15,63405.38464904756
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-16,64230.662787619054
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-17,68502.91958000002
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-18,65561.50032952381
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-19,66787.03224
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-20,62169.833366666644
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-21,34534.25792190478
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-22,52486.22708714291
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-23,44436.85530857143
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-24,19583.841640000013
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-25,2538.5691404761906
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-26,3084.445036190475
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-27,23764.89900238096
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-28,39687.40940666665
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-29,43954.75403857144
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-30,45784.14426000001
91E0C8BAA163259EE0530BC8100AFFB2,2020-01-31,43872.76516714286
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-01,29026.63514047619
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-02,24124.94345571429
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-03,17474.467606666665
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-04,25691.597948571438
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-05,21153.01309333332
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-06,1907.4658999999997
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-07,3372.922066666665
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-08,2825.6568600000014
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-09,2837.556386666667
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-10,1999.4617076190473
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-11,2458.8227752380976
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-12,4481.543366666669
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-13,3825.6282123809524
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-14,5401.27416
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-15,4505.790779999998
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-16,2186.1590185714276
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-17,3588.4808785714276
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-18,3596.8690799999995
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-19,4447.516984285715
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-20,2768.349073333334
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-21,4740.811761904759
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-22,4890.883733809527
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-23,3642.6250733333336
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-24,26727.91181571429
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-26,38340.98295428572
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-27,37730.1186333333
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-28,40230.03657714284
91E0C8BAA163259EE0530BC8100AFFB2,2020-02-29,42734.759551428586
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-01,25420.074073154767
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-02,8899.017452261904
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-04,74523.39177333335
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-05,68758.67621428572
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-06,85176.52494285713
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-07,82261.61132106227
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-08,82944.73856000007
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-09,79613.3120847619
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-10,74667.41700761902
91E0C8BAA163259EE0530BC8100AFFB2,2020-03-11,75490.62433285707
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-08-14,173131.60137166668
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-11,234705.17136047615
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-12,166707.36512666664
91E0C8BAA1A7259EE0530BC8100AFFB2,2019-09-13,162805.00326238107
